Sub,Exp,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,inst,Age,Gender,Major,Minor,SchoolUGorG,MuscMajMinor,BeginTrain,AbsPitch,YearsPrac,PeakPrac,Live12Mo,TheoryTrain,FormalYrs,NoOfInst,ActListenMin,SubjectNo,SubRaven,RavenB1,RavenB2,RavenB3,RavenTotal,OspanSub,OspanAccError,OspanMathError,OspanAbsoluteScore,OspanPartialScore,OspanB1,OspanB2,OspanB3,OspanSpeedErrTot,SymSub,SymAccErrTot,SymSpeedErrTot,SspanAbsScore,SspanPartiaScore,SspanB1,SspanB2,SspanB3,SymmErrTot,ToneSub,ToneAccErrTot,ToneMathErrTot,TspanAbsScore,TspanPartScore,TspanB1,TspanB2,TspanB3,ToneSpeedErrTot,BeatSub,BeatTotal,BeatAcc,MelodicSub,MelodicTot,MelodicAcc,Native,Paid
24,1,50,58,36,42,38,103,voice,22,FEMALE,PSYCHOLOGY,SOCIOLOGY PHILOSOPHY,1,1,7,NO,12,2,5,2,8,3,60,24,24,9,9,8,26,24,7,8,45,63,19,25,19,1,24,4,1,26,34,7,13,14,5,24,3,4,43,58,19,16,23,1,24,15,0.83,24,11,0.85,1,1
25,1,40,43,16,33,38,74,PIANO,19,FEMALE,ALLIED HEALTH,NA,1,1,16,NO,1,4,3,0,0,1,60,25,25,8,9,5,22,25,3,3,55,62,21,18,23,0,25,1,1,16,24,6,7,11,2,25,1,2,23,48,18,17,13,1,25,12,0.67,25,9,0.69,1,1
26,1,37,52,32,38,34,88,Flute,21,FEMALE,COMMUNICATION STUDIES,SPANISH,1,1,10,NO,6,3,1,0,6,2,120,26,26,4,8,6,18,26,7,8,42,59,21,20,18,1,26,7,0,14,29,8,12,9,7,26,5,6,16,35,5,11,19,1,26,15,0.83,26,6,0.46,1,1
27,1,46,52,32,27,38,96,voice,23,male,psychology,NA,1,1,18,no,4,3,2,1,2,1,2,27,27,8,6,8,22,27,8,12,48,66,23,21,22,4,27,3,1,19,27,8,8,11,4,27,6,6,35,63,17,23,23,0,27,8,0.44,27,7,0.54,1,1
28,1,44,56,16,39,36,90,Voice,19,FEMALE,Theatre Perfomance,NA,1,1,15,No,2,1,2,0,0,0,180,28,28,10,8,8,26,28,8,11,49,59,19,15,25,3,28,4,0,11,21,6,5,10,4,28,5,6,28,56,19,21,16,1,28,8,0.44,28,10,0.77,1,1
29,1,34,47,37,25,28,69,piano,18,FEMALE,PSYCHOLOGY,WOMEN AND GENDER STUDIES,1,1,7,NO,12,1,4,10,10,1,60,29,29,7,9,5,21,29,1,1,19,52,18,17,17,0,29,9,1,0,9,4,2,3,10,29,2,3,0,19,5,7,7,1,29,12,0.67,29,7,0.54,1,1
30,1,35,49,14,26,32,60,voice,19,FEMALE,APPAREL MERCHHANDISING,BUSINESS,1,1,8,no,3,0,2,0,3,0,30,30,30,6,7,7,20,30,2,2,61,71,23,23,25,0,30,3,2,18,25,7,11,7,5,30,4,5,19,43,13,11,19,1,30,10,0.56,30,7,0.54,1,1
32,1,34,48,25,33,30,82,singing,20,FEMALE,PHARMACY,NA,1,1,10,NO,2,2,2,1,2,0,30,32,32,4,5,6,15,32,5,5,50,63,23,23,17,0,32,7,0,16,23,9,9,5,7,32,3,5,24,46,15,13,18,2,32,10,0.56,32,5,0.38,1,1
33,1,35,53,37,36,35,90,alto saxophone,20,FEMALE,GENERAL BUSINESS,HISTORY,1,1,11,NO,8,4,2,4,8,1,60,33,33,8,7,8,23,33,8,9,34,45,17,15,13,1,33,0,0,33,38,14,13,11,0,33,2,2,28,54,15,20,19,0,33,14,0.78,33,4,0.31,1,1
34,1,31,37,18,29,29,63,PianonPIANO,20,FEMALE,ANIMAL SCIENCE,NA,1,1,8,NO,2,1,2,0,2,1,30,34,34,9,7,7,23,34,4,5,20,41,17,10,14,1,34,1,0,12,27,7,11,9,1,34,0,1,14,41,13,9,19,1,34,9,0.5,34,9,0.69,1,1
35,1,34,41,15,24,28,65,trumpet,20,MALE,ISDS,NA,1,1,12,NO,1,1,5,0,1,1,30,35,35,11,10,11,32,35,2,3,35,58,16,20,22,1,35,2,0,37,39,11,14,14,2,35,4,6,26,48,15,24,9,2,35,12,0.67,35,7,0.54,1,1
36,1,54,51,8,34,39,70,voice,2,FEMALE,Communication Studies ,Business,1,1,6,NO,0,0,5,0,0,0,350,36,36,11,10,7,28,36,3,6,40,60,17,22,21,3,36,2,0,20,33,9,13,11,2,36,9,12,28,52,18,16,18,3,36,13,0.72,36,8,0.62,1,1
37,1,37,51,12,21,28,64,Piano,18,MALE,Mechanical Engineering,NA,1,1,,NO,0,1,3,0,0,1,30,37,37,11,8,8,27,37,1,4,57,70,23,23,24,3,37,0,0,20,35,13,11,11,0,37,7,8,55,67,22,21,24,1,37,12,0.67,37,7,0.54,1,1
38,1,42,59,29,42,37,107,voice,19,FEMALE,Marketing,NA,1,1,17,NO,2,5,3,0,1,1,45,38,38,9,8,6,23,38,3,4,46,67,22,23,22,1,38,2,0,22,30,6,13,11,2,38,8,8,22,43,10,17,16,0,38,14,0.78,38,9,0.69,1,1
